,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,humid_250,temp_250,geo_550,u_wind_550,v_wind_550,humid_550,temp_550,geo_850,u_wind_850,v_wind_850,humid_850,temp_850
2683,1964156N19274,1964,35,NOT_NAMED,1964-06-03 12:00:00,18.5,-86.1,164,TD,25.0,1008.0,-1,2,349,107262.21,0.6253485,1.2688178,0.0002222389,232.03137,49999.176,2.6896887,0.40154663,0.00511394,271.3866,14761.514,2.0634692,1.5943774,0.012527206,290.0232
2684,1964156N19274,1964,35,NOT_NAMED,1964-06-03 15:00:00,18.595,-86.1099,161,TD,25.0,1008.0,-1,2,8,107367.22,0.9178186,2.9000518,0.00021270126,232.21863,50063.766,2.6901057,-0.56503356,0.0044067325,271.56546,14818.318,1.3127015,1.9249389,0.012457533,290.22003
2685,1964156N19274,1964,35,NOT_NAMED,1964-06-03 18:00:00,18.7,-86.1,157,TD,25.0,1008.0,-1,2,12,107440.82,0.31862366,3.5729754,0.0002084069,232.24454,50096.81,2.36547,-0.56719786,0.0041688974,271.71158,14832.514,2.1702087,1.4421784,0.012441925,290.43253
2686,1964156N19274,1964,35,NOT_NAMED,1964-06-03 21:00:00,18.8275,-86.0701,153,TD,25.0,1008.0,-1,3,0,107366.33,0.7630841,4.79043,0.00021113148,232.24498,49991.82,2.048922,-1.4348767,0.0038768977,272.0274,14690.108,2.7519941,-0.52162355,0.012516418,290.64172
2687,1964156N19274,1964,35,NOT_NAMED,1964-06-04 00:00:00,19.0,-86.1,147,TD,25.0,1008.0,-1,5,333,107424.6,3.05839,2.9803114,0.00019060756,232.00027,49993.24,1.4746954,-2.1171002,0.0036226008,272.49957,14665.211,2.614259,-0.6649408,0.012266091,290.70853
2688,1964156N19274,1964,35,NOT_NAMED,1964-06-04 03:00:00,19.2276,-86.2849,120,TD,25.0,1008.0,-1,6,323,107465.03,2.244215,2.2125013,0.00017993758,231.74854,50093.07,0.60288393,-1.1828247,0.0033881103,272.41653,14777.067,1.6773664,-1.0048181,0.012271961,290.61694
2689,1964156N19274,1964,35,NOT_NAMED,1964-06-04 06:00:00,19.5,-86.5,94,TD,25.0,1008.0,-1,7,331,107376.8,3.6527886,1.4949274,0.00014926768,231.49826,50101.07,1.3497412,-0.75757325,0.0028917226,272.38095,14779.99,-0.04833557,-0.60300416,0.012371256,290.29916
2690,1964156N19274,1964,35,NOT_NAMED,1964-06-04 09:00:00,19.7925,-86.6226,90,TD,25.0,1008.0,-1,6,342,107219.91,2.9005451,3.1886675,0.00011655708,231.30997,50007.15,1.8004986,-2.521933,0.0018299312,272.5768,14663.244,-0.7426221,-2.9468505,0.012142766,290.35193
2691,1964156N19274,1964,35,NOT_NAMED,1964-06-04 12:00:00,20.1,-86.7,76,TD,25.0,1008.0,-1,6,348,107251.79,4.990651,4.4547844,0.00011115485,231.46204,50035.656,0.6799725,-1.7980773,0.0014911889,272.4209,14715.466,-1.6119885,-0.44489074,0.012153646,290.26767
2692,1964156N19274,1964,35,NOT_NAMED,1964-06-04 15:00:00,20.4075,-86.765,45,TD,27.0,1008.0,-1,6,351,107405.61,4.614519,4.705052,0.00011022634,231.47997,50150.9,-0.53790647,-0.4781207,0.0015280801,272.2529,14845.137,-0.42568603,0.89462584,0.012229475,290.46515
