,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,humid_250,temp_250,geo_550,u_wind_550,v_wind_550,humid_550,temp_550,geo_850,u_wind_850,v_wind_850,humid_850,temp_850
18556,1984164N28285,1984,37,NOT_NAMED,1984-06-11 12:00:00,28.0,-75.5,408,TD,20.0,1008.0,-1,3,316,106325.6,6.6329937,-1.9308716,8.684403e-05,226.82138,50195.25,-2.750973,-1.9259839,0.0012834594,269.043,15254.789,-3.932909,-2.1832447,0.0069219703,288.19424
18557,1984164N28285,1984,37,NOT_NAMED,1984-06-11 15:00:00,28.1024,-75.61,411,TD,22.0,1008.0,-1,3,307,106435.0,5.0574927,-2.0993261,8.4916384e-05,226.8655,50288.887,-1.6763421,-1.2811499,0.0014130347,268.9041,15355.659,-3.6363227,-2.0255585,0.0072806906,288.3171
18558,1984164N28285,1984,37,NOT_NAMED,1984-06-11 18:00:00,28.2,-75.8,409,TD,25.0,1008.0,-1,5,293,106478.74,3.3774934,0.19627014,9.200326e-05,227.06636,50288.08,-0.23250732,-1.6706805,0.0015252866,269.08044,15330.94,-2.9890935,-2.039101,0.0075802444,288.54056
18559,1984164N28285,1984,37,NOT_NAMED,1984-06-11 21:00:00,28.2926,-76.1201,404,TD,25.0,1008.0,-1,6,288,106446.87,4.263974,2.396997,9.6200245e-05,227.12328,50225.71,0.37437257,-2.431798,0.0014859892,269.30396,15225.381,-3.263943,-2.4420733,0.007880631,288.80124
18560,1984164N28285,1984,37,NOT_NAMED,1984-06-12 00:00:00,28.4,-76.5,386,TD,25.0,1008.0,-1,7,292,106470.34,4.5238786,2.173994,9.900032e-05,227.06795,50194.395,-0.40445372,-3.554895,0.0014720518,269.32413,15205.856,-4.3340435,-2.4395392,0.008311426,288.60446
18561,1984164N28285,1984,37,NOT_NAMED,1984-06-12 03:00:00,28.55,-76.8574,351,TD,27.0,1008.0,-1,7,296,106455.78,5.533694,3.3439941,0.0001009717,226.64767,50283.023,-3.4508405,-3.2544603,0.001312977,268.94034,15346.233,-6.520259,-1.4841602,0.008012915,288.636
18562,1984164N28285,1984,37,NOT_NAMED,1984-06-12 06:00:00,28.7,-77.2,322,TD,30.0,1008.0,-1,6,295,106362.22,5.4675364,3.1836321,0.00010694684,226.68825,50188.92,-4.5493135,-1.6773376,0.0016083935,268.7953,15259.975,-5.867706,0.53197205,0.008871969,288.5704
18563,1984164N28285,1984,37,NOT_NAMED,1984-06-12 09:00:00,28.8149,-77.5151,294,TD,30.0,1008.0,-1,6,291,106196.18,4.9391108,4.566244,0.00011818879,226.47621,50091.87,-3.479372,-0.48057738,0.0014079121,268.95026,15147.405,-5.1775627,-0.77105105,0.008305792,288.81943
18564,1984164N28285,1984,37,NOT_NAMED,1984-06-12 12:00:00,28.9,-77.8,266,TD,30.0,1008.0,-1,5,286,106337.79,4.3660674,5.952794,0.000119970144,226.06975,50217.35,-2.9917223,0.1293341,0.0015598893,269.04688,15261.603,-5.273152,-0.6417517,0.009367464,288.63367
18565,1984164N28285,1984,37,NOT_NAMED,1984-06-12 15:00:00,28.9498,-78.0352,247,TD,30.0,1008.0,-1,4,283,106459.2,3.2921314,5.262658,0.00012870763,226.10028,50317.25,-2.1906092,0.62205935,0.0016566911,268.90164,15373.298,-5.9629283,0.36986694,0.010126022,288.40375
18566,1984164N28285,1984,37,NOT_NAMED,1984-06-12 18:00:00,29.0,-78.3,221,TD,30.0,1008.0,-1,6,283,106552.42,0.9819629,4.6166444,0.00013685934,226.34927,50343.516,-1.9295312,0.50535095,0.0017932233,269.06097,15384.607,-5.377097,1.3533734,0.010570022,288.332
18567,1984164N28285,1984,37,NOT_NAMED,1984-06-12 21:00:00,29.0776,-78.6776,187,TD,30.0,1008.0,-1,7,286,106519.16,0.04366211,5.4252143,0.00013741523,226.63254,50309.477,-1.7019067,-0.6917438,0.001721073,269.11792,15325.733,-5.222174,0.07865906,0.010631791,288.45267
18568,1984164N28285,1984,37,NOT_NAMED,1984-06-13 00:00:00,29.2,-79.1,157,TD,30.0,1008.0,-1,8,293,106445.56,-3.0535913,5.573979,0.0001269775,226.64941,50258.63,-2.8916438,-1.0076581,0.0017273048,268.93054,15289.282,-5.7111626,1.7849201,0.010596546,288.08536
18569,1984164N28285,1984,37,NOT_NAMED,1984-06-13 03:00:00,29.4001,-79.5297,137,TD,30.0,1008.0,-1,8,300,106439.08,-3.0140955,6.1225867,0.00012339321,226.16002,50319.45,-4.014091,-0.5658814,0.0016651435,268.78094,15363.44,-4.8307734,1.6940143,0.01047689,288.2042
18570,1984164N28285,1984,37,NOT_NAMED,1984-06-13 06:00:00,29.6,-79.9,111,TD,30.0,1008.0,-1,6,303,106396.16,-6.359554,5.326878,0.00013519557,226.12004,50254.02,-5.047542,1.9096411,0.0020668197,268.759,15345.911,-4.907181,2.8770385,0.010398125,288.0632
18571,1984164N28285,1984,37,NOT_NAMED,1984-06-13 09:00:00,29.7222,-80.1078,102,TD,27.0,1008.0,-1,4,300,106251.77,-6.265995,3.5892816,0.00013058391,226.37088,50151.594,-3.8805432,2.368888,0.0021364985,268.50616,15253.753,-4.54532,3.1066816,0.010220813,288.08853
18572,1984164N28285,1984,37,NOT_NAMED,1984-06-13 12:00:00,29.8,-80.3,89,TD,25.0,1008.0,-1,5,285,106425.5,-8.019784,1.3657874,0.0001289575,226.32843,50282.754,-1.904273,1.276607,0.001917787,268.51495,15366.121,-4.474533,2.9397595,0.009989851,288.42938
18573,1984164N28285,1984,37,NOT_NAMED,1984-06-13 15:00:00,29.8425,-80.6202,62,TD,25.0,1008.0,-1,6,279,106453.23,-10.892195,2.666529,0.00013388881,226.43623,50340.79,-1.6381885,-0.35779175,0.001945079,268.32898,15430.005,-4.093,0.54328,0.010238789,288.2534
18574,1984164N28285,1984,37,NOT_NAMED,1984-06-13 18:00:00,29.9,-81.0,30,TD,25.0,1008.0,-1,7,285,106524.25,-9.046476,2.750998,0.00013219728,226.83215,50331.914,-2.155642,-0.07492432,0.0022467745,268.21082,15426.655,-4.493269,1.109071,0.010262524,288.54803
18575,1984164N28285,1984,37,NOT_NAMED,1984-06-13 21:00:00,30.0277,-81.3971,0,TD,30.0,1008.0,-5,8,293,106519.01,-5.8342366,0.6639862,0.00012292305,227.05275,50240.164,-2.874077,-0.5208545,0.00245749,268.39917,15314.619,-4.553451,2.1475286,0.010233546,288.89926
18576,1984164N28285,1984,37,NOT_NAMED,1984-06-14 00:00:00,30.2,-81.8,0,TD,30.0,1008.0,-5,8,296,106408.64,-8.365024,-0.055042114,0.0001322049,227.01973,50154.426,-1.4135242,-1.8779285,0.0025944838,268.20544,15269.147,-3.9730945,0.4758722,0.010152485,288.83557
18577,1984171N20266,1984,40,NOT_NAMED,1984-06-18 12:00:00,20.5,-94.0,236,TD,20.0,1008.0,-1,8,293,107111.24,6.8626623,4.8810887,0.0001992315,230.8216,50021.574,-0.40052307,4.7226405,0.005383705,270.85684,14834.238,-4.5648847,5.6841955,0.011767797,290.12512
18578,1984171N20266,1984,40,NOT_NAMED,1984-06-18 15:00:00,20.6602,-94.4098,226,TD,20.0,1008.0,-1,8,292,107228.8,3.9533668,4.914308,0.00021770471,230.66548,50099.324,-1.0654389,4.9884367,0.005365105,271.0263,14920.94,-6.438282,6.239301,0.010732752,290.00485
18579,1984171N20266,1984,40,NOT_NAMED,1984-06-18 18:00:00,20.8,-94.8,194,TD,20.0,1008.0,-1,7,289,107293.67,4.394173,5.4839187,0.00021040761,231.24336,50083.836,-0.86066103,3.2305639,0.005202533,270.85226,14905.01,-5.664136,4.0415754,0.011083718,290.0341
18580,1984171N20266,1984,40,NOT_NAMED,1984-06-18 21:00:00,20.9074,-95.1576,167,TD,22.0,1008.0,-1,7,287,107265.22,4.528861,4.8298855,0.00023705472,231.85081,50015.586,-0.29969728,3.6850433,0.0051937737,271.10995,14784.639,-5.3337007,3.1553864,0.01106613,290.48138
18581,1984171N20266,1984,40,NOT_NAMED,1984-06-19 00:00:00,21.0,-95.5,152,TD,25.0,1008.0,-1,7,285,107162.85,2.238825,6.5346847,0.00026355707,231.67418,49969.87,-0.93750733,-0.2693573,0.004679128,271.36923,14724.843,-4.696985,0.6458075,0.011870873,290.25275
18582,1984171N20266,1984,40,NOT_NAMED,1984-06-19 03:00:00,21.085,-95.8576,129,TD,25.0,1008.0,-1,7,287,107247.19,1.4946222,5.761113,0.0002733824,231.78458,50032.22,-0.7707233,0.29628235,0.00468266,271.4678,14824.357,-5.200695,2.6439319,0.011628476,289.9661
18583,1984171N20266,1984,40,NOT_NAMED,1984-06-19 06:00:00,21.2,-96.2,114,TD,25.0,1008.0,-1,7,296,107260.46,1.3594836,6.593678,0.0002565723,231.6293,50048.23,-1.2712342,1.5439373,0.004879176,271.25922,14850.525,-5.013645,3.074358,0.011640963,289.7068
18584,1984171N20266,1984,40,NOT_NAMED,1984-06-19 09:00:00,21.3925,-96.5224,85,TD,27.0,1008.0,-1,7,306,107118.64,3.1329834,9.117503,0.00022619849,231.42267,49933.465,-1.8852917,0.12692688,0.0048174337,271.01065,14755.077,-3.5498176,1.5948541,0.011881273,289.51425
18585,1984171N20266,1984,40,NOT_NAMED,1984-06-19 12:00:00,21.6,-96.8,51,TD,30.0,1008.0,-1,6,311,107175.77,4.574364,4.206303,0.00019250045,231.17326,50041.66,-1.2818365,0.58593076,0.0047928346,271.07962,14859.894,-5.1939654,3.5658264,0.011655439,289.2292
18586,1984171N20266,1984,40,NOT_NAMED,1984-06-19 15:00:00,21.7648,-96.9852,38,TD,30.0,1008.0,-1,5,309,107332.88,3.6833563,3.5536628,0.00018284365,231.19678,50157.18,-2.1790955,0.59756833,0.004881967,271.25415,14969.103,-4.8454866,3.4388483,0.011683916,289.59686
