,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,humid_250,temp_250,geo_550,u_wind_550,v_wind_550,humid_550,temp_550,geo_850,u_wind_850,v_wind_850,humid_850,temp_850
564,1960174N19267,1960,31,NOT_NAMED,1960-06-22 06:00:00,19.2,-93.2,85,TD,25.0,1008.0,-1,7,315,107519.37,5.5824776,4.667908,0.00022446776,232.44984,50170.094,-2.641751,1.6939398,0.005832547,271.739,14880.816,-3.9007416,2.1747425,0.012914685,290.38593
565,1960174N19267,1960,31,NOT_NAMED,1960-06-22 09:00:00,19.465,-93.4775,131,TD,25.0,1008.0,-1,8,317,107387.19,4.4393907,5.0590267,0.00023590187,232.10023,50021.035,-3.211339,2.801106,0.0058215475,271.74603,14738.724,-3.2697077,3.614027,0.01286993,290.35895
566,1960174N19267,1960,31,NOT_NAMED,1960-06-22 12:00:00,19.8,-93.8,167,TD,25.0,1008.0,-1,10,320,107258.31,8.838322,7.5772753,0.00018696945,231.86899,49998.906,-4.2101793,3.7767365,0.005430279,271.4628,14751.019,-1.9905127,3.7942767,0.012420585,290.19186
567,1960174N19267,1960,31,NOT_NAMED,1960-06-22 15:00:00,20.2551,-94.1925,207,TD,25.0,1008.0,-1,13,323,107377.68,7.636433,7.0643134,0.00019110015,231.60938,50123.38,-3.6259136,5.2944117,0.005714647,271.54187,14873.617,-2.1013622,3.544062,0.012361872,290.26013
568,1960174N19267,1960,31,NOT_NAMED,1960-06-22 18:00:00,20.8,-94.6,212,TD,25.0,1008.0,-1,13,327,107342.55,7.060658,10.038715,0.00012709554,231.44289,50138.176,-2.5716505,5.713525,0.0053062486,271.68808,14881.848,-1.855564,1.5868769,0.012065806,290.59235
569,1960174N19267,1960,31,NOT_NAMED,1960-06-22 21:00:00,21.3625,-94.9727,220,TD,27.0,1008.0,-1,14,332,107373.43,7.8626876,10.461493,0.000116677715,231.72224,50053.54,-1.3799384,5.5593095,0.005421558,271.94183,14749.543,-2.6814153,1.2508764,0.011976583,290.91724
570,1960174N19267,1960,31,NOT_NAMED,1960-06-23 00:00:00,22.0,-95.3,211,TD,30.0,1008.0,-1,15,338,107490.7,5.42916,10.353657,0.00010898749,232.47704,50082.266,-1.2797137,4.4441457,0.00520084,272.00104,14757.895,-5.296191,2.6594977,0.011944508,291.0491
571,1960174N19267,1960,31,NOT_NAMED,1960-06-23 03:00:00,22.7499,-95.5652,213,TD,32.0,1008.0,-1,16,343,107414.48,4.677338,11.902214,7.708644e-05,232.6132,50152.785,-1.8164154,3.157932,0.004693098,271.6087,14847.683,-6.3534727,4.0490284,0.011729842,291.09747
572,1960174N19267,1960,31,NOT_NAMED,1960-06-23 06:00:00,23.5,-95.8,203,TS,35.0,1000.0,0,15,342,107478.72,2.168993,12.773548,8.814402e-05,232.47838,50185.94,-2.649768,4.8798456,0.004899147,271.94592,14896.543,-6.0554657,6.654661,0.012133572,290.64917
573,1960174N19267,1960,31,NOT_NAMED,1960-06-23 09:00:00,24.1525,-96.0576,165,TS,37.0,1000.0,0,13,339,107348.75,3.356618,10.637263,0.00014468131,231.98146,50019.8,-0.99868166,6.0837855,0.004778163,272.0494,14718.996,-3.788244,7.539726,0.012365448,290.46085
574,1960174N19267,1960,31,NOT_NAMED,1960-06-23 12:00:00,24.7,-96.3,124,TS,40.0,1000.0,0,11,337,107217.58,6.272901,12.281955,0.00014308943,231.71484,49956.625,-6.799803,5.8671107,0.005113023,271.64996,14683.425,-3.1366882,5.401141,0.012085344,290.38257
575,1960174N19267,1960,31,NOT_NAMED,1960-06-23 15:00:00,25.1299,-96.5079,87,TS,42.0,1000.0,0,9,336,107194.36,4.948747,11.496003,9.380182e-05,231.80037,50015.61,-3.1901226,6.3160386,0.004491159,271.33008,14730.635,-1.6608728,2.2313788,0.011746209,290.84985
576,1960174N19267,1960,31,NOT_NAMED,1960-06-23 18:00:00,25.5,-96.7,51,TS,45.0,1000.0,0,8,335,107263.0,-0.73591554,11.811631,0.0001282088,231.9508,50025.2,-2.3644507,7.3507967,0.0045625847,271.6229,14728.477,-3.4914808,3.1213598,0.012345208,290.94925
577,1960174N19267,1960,31,NOT_NAMED,1960-06-23 21:00:00,25.8908,-96.8956,22,TS,47.0,1000.0,0,9,336,107268.74,-2.835738,12.081006,0.00014159331,232.01465,49977.14,1.604682,7.3113103,0.004512536,272.14215,14625.8,-4.0150676,3.0255897,0.012450492,291.5481
578,1960174N19267,1960,31,NOT_NAMED,1960-06-24 00:00:00,26.3,-97.1,19,TS,50.0,1000.0,0,9,335,107332.8,1.525686,10.991443,0.00014431197,232.50821,49872.46,3.5401342,3.4331121,0.0040656924,272.463,14474.695,-5.7643256,0.867677,0.013332825,291.58817
