,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,humid_250,temp_250,geo_550,u_wind_550,v_wind_550,humid_550,temp_550,geo_850,u_wind_850,v_wind_850,humid_850,temp_850
31,1959148N23274,1959,34,ARLENE,1959-06-01 00:00:00,32.1,-90.5,0,TD,25.0,1008.0,-1,6,42,106941.04,9.345726,1.314173,0.00013761481,229.3339,49941.254,1.8854998,0.103928834,0.0029641893,271.66333,14684.576,1.29948,2.5078974,0.012479147,289.99377
32,1959148N23274,1959,34,ARLENE,1959-06-01 03:00:00,32.2799,-90.2298,0,TD,25.0,1008.0,-1,6,59,106903.9,9.79782,3.676654,0.00014539853,229.01108,49987.504,2.2004151,-1.9079682,0.0029648896,271.3714,14733.608,0.86469424,2.8800902,0.012505226,289.8704
33,1959148N23274,1959,34,ARLENE,1959-06-01 06:00:00,32.4,-89.9,0,TD,25.0,1008.0,-1,6,69,106783.48,10.6981735,7.3186803,0.0001421545,228.72914,49970.445,0.9414307,-2.8477063,0.00274422,270.9092,14732.032,2.117519,3.8887281,0.012374295,289.7847
34,1959148N23274,1959,34,ARLENE,1959-06-01 09:00:00,32.515,-89.515,0,TD,25.0,1008.0,-1,7,74,106455.28,14.590856,11.222942,0.00014359968,228.19131,49834.91,-0.53951967,-1.913183,0.0023304967,270.3113,14646.824,3.2032893,2.6055152,0.012357958,289.40665
35,1959148N23274,1959,34,ARLENE,1959-06-01 12:00:00,32.6,-89.1,0,TD,25.0,1008.0,-1,7,78,106473.04,14.87751,10.828848,0.00018572662,229.26773,49830.684,2.2495375,1.8935308,0.00316298,270.0884,14696.572,2.4161315,0.6289746,0.012527864,289.29062
36,1959148N23274,1959,34,ARLENE,1959-06-01 15:00:00,32.6571,-88.7223,0,TD,25.0,1008.0,-1,7,82,106456.48,14.625564,12.397871,0.00017696747,229.36508,49919.08,5.7200966,1.4435865,0.0030264398,269.85837,14790.435,1.8554462,0.008527832,0.012526903,289.28122
37,1959148N23274,1959,34,ARLENE,1959-06-01 18:00:00,32.7,-88.3,0,TD,25.0,1008.0,-1,7,83,106538.78,13.206698,12.123641,0.00017873646,229.95493,49875.76,7.1117034,1.278648,0.0030349523,270.4253,14740.469,3.242616,1.736286,0.0126137,289.17972
38,1959148N23274,1959,34,ARLENE,1959-06-01 21:00:00,32.7485,-87.8548,0,TD,22.0,1008.0,-1,9,84,106511.23,11.93188,10.443886,0.00015158602,229.89867,49811.03,7.7163987,0.3839374,0.0028414268,270.5828,14687.584,5.0446544,-0.68092465,0.012840522,289.54642
39,1959148N23274,1959,34,ARLENE,1959-06-02 00:00:00,32.8,-87.2,0,TD,20.0,1008.0,-1,14,87,106438.73,10.499782,12.292441,0.00018757528,229.77188,49763.81,6.6588335,-0.22849731,0.0038292992,269.95724,14667.232,5.000262,-0.6493408,0.012119526,289.95706
40,1959148N23274,1959,34,ARLENE,1959-06-02 03:00:00,32.8131,-86.1884,0,TD,20.0,1008.0,-1,18,87,106453.64,10.887531,12.002097,0.00016801301,229.44853,49803.703,6.6463118,0.8589447,0.0039080377,269.85327,14697.407,3.9876826,-0.89938784,0.011878717,289.86563
41,1959148N23274,1959,34,ARLENE,1959-06-02 06:00:00,32.9,-85.0,0,TD,20.0,1008.0,-1,20,80,106360.47,11.08388,11.507587,0.0001358109,229.35912,49695.387,8.723999,2.228924,0.003757412,269.92667,14614.307,4.315893,1.1663898,0.011732186,289.47415
42,1959148N23274,1959,34,ARLENE,1959-06-02 09:00:00,33.1383,-83.8868,0,TD,20.0,1008.0,-1,20,73,106192.18,11.922715,11.054966,0.00012904989,229.08113,49559.88,10.835376,2.4186547,0.0036585792,269.81467,14502.295,6.5170674,2.623844,0.011924229,288.8976
43,1959148N23274,1959,34,ARLENE,1959-06-02 12:00:00,33.5,-82.7,0,TD,20.0,1008.0,-1,22,69,105915.17,12.004004,10.519681,0.00012456819,228.25201,49454.36,11.772942,2.4172204,0.0038508293,269.09824,14453.478,7.804777,-0.64126587,0.011299377,288.5459
44,1959148N23274,1959,34,ARLENE,1959-06-02 15:00:00,33.9361,-81.3909,0,TD,20.0,1008.0,-1,24,68,106088.16,10.434832,11.103545,0.00013342289,228.6842,49519.1,13.137146,4.265216,0.0037316002,269.60464,14482.544,8.809754,2.7281153,0.011324253,288.93112
