,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,humid_250,temp_250,geo_550,u_wind_550,v_wind_550,humid_550,temp_550,geo_850,u_wind_850,v_wind_850,humid_850,temp_850
3493,1965165N23269,1965,48,NOT_NAMED,1965-06-13 18:00:00,23.1,-91.0,234,TD,30.0,1008.0,-1,11,352,107324.1,8.858355,8.662417,0.0001399721,232.47229,49874.96,1.0646265,2.0822418,0.0046376227,272.0431,14594.567,-1.2858527,2.412686,0.012436445,290.60437
3494,1965165N23269,1965,48,NOT_NAMED,1965-06-13 21:00:00,23.6475,-91.0772,291,TD,32.0,1008.0,-1,11,355,107258.28,9.988945,9.435927,0.00013748804,232.49844,49816.78,3.036377,-0.099605106,0.0040099714,271.8507,14522.83,-3.047773,2.7890077,0.0127079915,290.8148
3495,1965165N23269,1965,48,NOT_NAMED,1965-06-14 00:00:00,24.2,-91.1,356,TS,35.0,1000.0,0,11,2,107098.14,9.999574,5.742617,0.00011221462,232.30273,49763.836,3.108321,-2.6774743,0.0034973358,271.4129,14458.437,-1.5070838,2.313836,0.012502848,290.8505
3496,1965165N23269,1965,48,NOT_NAMED,1965-06-14 03:00:00,24.7575,-91.0301,417,TS,37.0,1000.0,0,11,9,107087.16,12.568064,7.4329295,8.598154e-05,231.9433,49846.996,1.692019,-2.5211506,0.0026406676,271.4281,14538.71,-2.8431733,3.6002831,0.012101173,290.95135
3497,1965165N23269,1965,48,NOT_NAMED,1965-06-14 06:00:00,25.3,-90.9,424,TS,40.0,1000.0,0,11,13,107020.79,14.328838,5.8511367,8.4442545e-05,231.86847,49847.87,1.3292316,-1.3111908,0.0024007212,271.57526,14540.209,-1.7250293,4.8370476,0.012045785,290.98203
3498,1965165N23269,1965,48,NOT_NAMED,1965-06-14 09:00:00,25.8225,-90.7649,368,TS,40.0,1000.0,0,10,15,106763.9,15.193545,7.0049376,8.400214e-05,231.2867,49717.41,1.2617614,-0.4945514,0.0021024486,271.33548,14448.075,-0.7338153,4.6154256,0.011702126,290.9248
3499,1965165N23269,1965,48,NOT_NAMED,1965-06-14 12:00:00,26.3,-90.6,312,TS,40.0,1000.0,0,9,19,106707.39,11.849788,8.426731,8.951258e-05,231.19867,49726.16,3.4816554,0.38840026,0.0015980522,271.16394,14494.424,2.1088624,4.4816303,0.011564929,290.9098
3500,1965165N23269,1965,48,NOT_NAMED,1965-06-14 15:00:00,26.7074,-90.4296,268,TS,42.0,1000.0,0,9,24,106731.54,10.60729,12.077618,0.00013578036,231.05722,49801.406,4.978479,0.6464264,0.0025156578,270.64343,14636.907,1.2995355,6.7997723,0.012060677,290.07114
3501,1965165N23269,1965,48,NOT_NAMED,1965-06-14 18:00:00,27.1,-90.2,223,TS,45.0,1000.0,0,9,30,106783.12,12.526752,12.913219,9.783135e-05,230.65065,49873.324,4.859676,-0.9544354,0.0023057172,270.92468,14643.723,2.9745312,4.932789,0.012038967,290.65866
3502,1965165N23269,1965,48,NOT_NAMED,1965-06-14 21:00:00,27.5121,-89.9165,179,TS,45.0,1000.0,0,11,35,106625.07,12.738877,13.128418,7.717439e-05,229.87395,49807.355,4.131079,-2.956642,0.002083724,270.98694,14557.921,1.9762665,1.9234588,0.0114874495,291.33255
3503,1965165N23269,1965,48,NOT_NAMED,1965-06-15 00:00:00,28.0,-89.5,118,TS,45.0,1005.0,0,14,39,106501.5,9.519463,16.372244,7.220125e-05,229.97563,49777.9,3.9160204,-5.37018,0.0017967324,270.61807,14518.776,1.431524,-1.3356194,0.010808859,291.69952
3504,1965165N23269,1965,48,NOT_NAMED,1965-06-15 03:00:00,28.619,-88.9153,48,TS,47.0,1005.0,0,17,41,106509.18,11.170925,17.017767,9.114022e-05,229.87575,49822.465,4.3871093,-5.6035266,0.0021590923,270.65094,14576.974,1.7775421,1.3125213,0.01048045,291.261
3505,1965165N23269,1965,48,NOT_NAMED,1965-06-15 06:00:00,29.3,-88.2,80,TS,50.0,1006.0,0,18,43,106501.02,13.117588,15.540241,0.000101088866,229.97684,49783.715,4.740378,-2.2042193,0.0024203814,270.70374,14572.581,4.144448,5.219386,0.011113427,290.5663
3506,1965165N23269,1965,48,NOT_NAMED,1965-06-15 09:00:00,29.9019,-87.5272,44,TS,50.0,1006.0,0,19,46,106226.98,10.65655,11.327754,9.9599194e-05,229.23,49636.61,5.7519403,-1.1985871,0.0022784574,270.4004,14487.585,4.733509,2.2714837,0.011175589,290.04288
3508,1965165N23269,1965,48,NOT_NAMED,1965-06-15 12:00:00,30.7,-86.5,0,TS,50.0,1007.0,0,27,50,106301.29,9.889495,16.397402,0.000172827,229.9408,49577.92,5.7913027,3.864959,0.0036122722,270.00967,14530.673,4.6133842,7.1744847,0.011611628,288.76495
3509,1965165N23269,1965,48,NOT_NAMED,1965-06-15 15:00:00,31.5386,-85.3235,0,TS,45.0,1000.0,0,25,51,106375.56,7.2645063,18.401512,0.00020750472,230.38045,49623.754,6.7285447,5.7502985,0.0039663594,269.98773,14616.12,4.1511235,7.3584275,0.011548855,288.45587
3510,1965165N23269,1965,48,NOT_NAMED,1965-06-15 18:00:00,32.3,-84.2,0,TS,40.0,1000.0,0,23,51,106623.94,9.117321,19.495762,0.00024702982,231.13199,49735.01,8.676823,6.723074,0.0040477104,270.25446,14677.278,4.0961385,10.109409,0.01173911,289.09106
3511,1965165N23269,1965,48,NOT_NAMED,1965-06-15 21:00:00,33.0193,-83.1986,0,TS,37.0,1000.0,0,23,52,106613.78,12.548314,17.339594,0.00024054933,231.0432,49671.27,8.040687,7.0515523,0.0043121846,270.2132,14602.334,3.504629,10.80997,0.011920674,288.97925
3512,1965233N32308,1965,76,ANNA,1965-08-21 06:00:00,32.4,-52.3,1582,TS,35.0,1000.0,0,6,355,106476.46,-4.505818,2.8899317,0.000102533224,227.12283,50213.7,0.7042218,3.370902,0.0011742023,269.3123,15236.165,0.1514618,3.0059032,0.010244492,288.47073
3513,1965233N32308,1965,76,ANNA,1965-08-21 09:00:00,32.6975,-52.3248,1548,TS,35.0,1000.0,0,6,1,106523.98,-5.9775352,5.6194897,0.00012274127,227.02086,50250.824,-0.97841126,3.1665697,0.0016016911,269.19165,15267.104,0.15981689,3.0758855,0.010362507,288.66565
3514,1965233N32308,1965,76,ANNA,1965-08-21 12:00:00,33.0,-52.3,1515,TS,35.0,1000.0,0,6,10,106450.18,-11.22813,1.6155871,0.00013055805,227.07678,50193.273,-3.1303601,3.1741962,0.0014625937,268.99197,15234.48,1.0806977,2.68042,0.010093748,288.21616
3515,1965233N32308,1965,76,ANNA,1965-08-21 15:00:00,33.3075,-52.2002,1482,TS,35.0,1000.0,0,6,16,106516.21,-10.501692,4.13089,0.00013068938,227.41028,50223.934,-0.9449872,4.2260227,0.0013262394,268.94598,15283.468,1.4585278,2.5486548,0.010116734,288.11206
3516,1965233N32308,1965,76,ANNA,1965-08-21 18:00:00,33.6,-52.1,1449,TS,35.0,1000.0,0,6,10,106606.2,-8.270519,5.566499,0.0001465537,227.5576,50281.453,0.36715028,3.5124989,0.0017899787,268.8649,15317.049,0.24699035,2.9067266,0.010342082,288.482
3517,1965233N32308,1965,76,ANNA,1965-08-21 21:00:00,33.8575,-52.0849,1416,TS,35.0,1000.0,0,5,2,106624.68,-5.759437,3.052835,0.00014258854,227.43665,50336.086,1.1350878,1.3798089,0.0018020575,268.71698,15370.918,0.62351257,3.1913977,0.010210578,288.71072
3518,1965233N32308,1965,76,ANNA,1965-08-22 00:00:00,34.1,-52.1,1394,TS,35.0,1000.0,0,5,359,106598.54,-5.572897,2.4450026,0.00012965368,226.75287,50344.77,-0.5261029,1.4013611,0.0016872,269.08594,15331.273,0.94088805,2.807589,0.010282661,289.02972
3519,1965233N32308,1965,76,ANNA,1965-08-22 03:00:00,34.35,-52.0926,1371,TS,35.0,1000.0,0,5,358,106540.91,-4.736577,1.9738781,0.00012193553,226.73787,50291.32,-0.1479132,1.3654255,0.0017469343,268.915,15313.937,0.9468463,3.5763557,0.010275203,288.84262
3520,1965233N32308,1965,76,ANNA,1965-08-22 06:00:00,34.6,-52.1,1338,TS,35.0,1000.0,0,5,355,106553.76,-4.0071936,2.0750866,0.000119341705,227.04204,50200.39,-1.1821747,1.3294842,0.0019729906,269.22412,15231.94,-0.39491394,4.6998234,0.010386077,288.59595
3521,1965233N32308,1965,76,ANNA,1965-08-22 09:00:00,34.85,-52.1499,1305,TS,35.0,1000.0,0,5,351,106530.86,-4.743744,-0.984975,0.00011361304,227.08162,50184.453,-1.2610016,1.9348633,0.0020987056,269.03183,15229.387,0.6137445,4.559644,0.010449789,288.5239
3522,1965233N32308,1965,76,ANNA,1965-08-22 12:00:00,35.1,-52.2,1282,TS,35.0,1000.0,0,5,353,106852.09,-3.9480767,-0.13310486,0.00011081844,227.38876,50393.203,0.64780337,3.4672742,0.002237441,269.57138,15361.727,2.8735895,2.4589984,0.010707062,289.20816
3523,1965233N32308,1965,76,ANNA,1965-08-22 15:00:00,35.3575,-52.215,1248,TS,35.0,1000.0,0,5,2,106881.96,-5.1714077,1.0887799,9.674522e-05,227.31598,50399.59,2.5315778,1.7449707,0.0024628555,269.59314,15366.745,2.790871,1.3187829,0.010833201,289.2151
3524,1965233N32308,1965,76,ANNA,1965-08-22 18:00:00,35.6,-52.2,1226,TS,35.0,1000.0,0,5,4,106854.8,-2.8700879,2.9037006,0.00010236992,227.39291,50345.715,1.4402282,-0.91282594,0.0024150244,269.7236,15299.597,0.89784974,0.79823244,0.0109427385,289.29608
3525,1965233N32308,1965,76,ANNA,1965-08-22 21:00:00,35.8075,-52.1575,1204,TS,40.0,1000.0,0,4,11,106845.8,-1.0695539,1.2869122,0.00011105988,227.62961,50346.46,-0.61036193,-1.9184887,0.00247127,269.74945,15289.374,0.7862201,0.84480894,0.0109238075,289.38977
