,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,geo_550,u_wind_550,v_wind_550,geo_850,u_wind_850,v_wind_850
20049,1986156N26284,1986,52,ANDREW,1986-06-05 00:00:00,26.2,-75.8,252,SD,30.0,1007.0,-2,12,352,106791.73,1.5689087,6.175467,49797.555,-1.1029956,-1.1028607,14627.688,-2.0624523,3.586994
20050,1986156N26284,1986,52,ANDREW,1986-06-05 03:00:00,26.8125,-75.8849,282,SD,30.0,1006.0,-2,12,352,106831.58,-0.50033385,6.7531505,49845.574,-2.759622,-0.30030334,14693.737,-3.9477527,3.2370136
20051,1986156N26284,1986,52,ANDREW,1986-06-05 06:00:00,27.4,-76.0,325,SD,30.0,1006.0,-2,12,347,106734.75,0.19709778,6.842074,49767.934,-0.827771,2.0435376,14588.468,-2.1749475,4.307175
20052,1986156N26284,1986,52,ANDREW,1986-06-05 09:00:00,27.9374,-76.1701,360,SD,30.0,1005.0,-2,11,340,106619.76,-0.9474146,7.0633497,49658.344,-1.1623425,2.6417933,14506.598,-3.9749877,3.6398914
20053,1986156N26284,1986,52,ANDREW,1986-06-05 12:00:00,28.4,-76.4,396,SD,30.0,1005.0,-2,10,331,106713.06,0.96923095,10.915911,49738.895,0.44263428,1.0912421,14542.353,-2.100357,3.024909
20054,1986156N26284,1986,52,ANDREW,1986-06-05 15:00:00,28.7801,-76.6926,371,SD,30.0,1004.0,-2,9,323,106802.35,0.6741418,6.6028876,49822.44,-1.3359253,-0.8580548,14599.2,-5.8423247,0.38213563
20055,1986156N26284,1986,52,ANDREW,1986-06-05 18:00:00,29.1,-77.0,347,SD,30.0,1003.0,-2,8,321,106847.85,2.272937,7.0007277,49802.906,0.016169434,-0.82772154,14556.96,-3.588611,3.2732465
20056,1986156N26284,1986,52,ANDREW,1986-06-05 21:00:00,29.415,-77.2726,326,SD,32.0,1002.0,-2,7,324,106823.52,4.8589845,6.8671656,49751.16,0.38765624,-1.7503381,14485.685,-0.5582343,4.405108
20057,1986156N26284,1986,52,ANDREW,1986-06-06 00:00:00,29.7,-77.5,320,TS,35.0,1002.0,0,6,327,106783.14,2.067688,-0.36684877,49785.93,-3.5624452,-4.508238,14464.903,-3.993172,-0.41300538
20058,1986156N26284,1986,52,ANDREW,1986-06-06 03:00:00,29.9574,-77.6727,318,TS,37.0,1002.0,0,6,332,106822.5,1.9901978,-3.584173,49819.43,-3.5895104,-2.1378956,14513.808,-3.145014,1.5162555
20059,1986156N26284,1986,52,ANDREW,1986-06-06 06:00:00,30.2,-77.8,322,TS,40.0,1003.0,0,5,335,106717.29,0.07641968,-3.373421,49748.926,-1.4940289,-0.25391296,14484.843,-1.2996045,3.0871656
20060,1986156N26284,1986,52,ANDREW,1986-06-06 09:00:00,30.435,-77.9299,315,TS,42.0,1004.0,0,5,341,106660.52,-0.22267212,-0.5160632,49693.797,0.32275513,0.17970948,14427.645,-0.3612573,3.4110405
20061,1986156N26284,1986,52,ANDREW,1986-06-06 12:00:00,30.7,-78.0,283,TS,45.0,1005.0,0,6,356,106711.69,-1.1229968,0.72371215,49814.29,0.64919126,-0.6071069,14540.64,-2.1153228,2.7476702
20062,1986156N26284,1986,52,ANDREW,1986-06-06 15:00:00,31.05,-77.9727,249,TS,45.0,1004.0,0,7,7,106791.51,1.272799,1.182149,49902.14,1.4914887,-0.71521604,14613.362,-1.4028968,3.0916772
20063,1986156N26284,1986,52,ANDREW,1986-06-06 18:00:00,31.4,-77.9,227,TS,45.0,1004.0,0,6,5,106837.08,2.1548388,0.8988666,49890.34,2.839229,-1.2485193,14587.725,-0.27580443,3.2774255
20064,1986156N26284,1986,52,ANDREW,1986-06-06 21:00:00,31.6347,-77.9091,210,TS,45.0,1003.0,0,5,10,106896.98,2.0478551,0.3903772,49877.387,1.0375159,-2.634771,14573.249,-1.7211744,2.3405774
20065,1986156N26284,1986,52,ANDREW,1986-06-07 00:00:00,31.9,-77.8,193,TS,45.0,1003.0,0,8,31,106885.32,1.4232806,-3.4244819,49867.16,1.2464118,-2.0999646,14561.835,1.1052289,2.5090563
20066,1986156N26284,1986,52,ANDREW,1986-06-07 03:00:00,32.3278,-77.4107,186,TS,45.0,1002.0,0,12,40,106946.49,1.4281335,0.22145995,49917.816,1.5931445,1.3054346,14675.487,2.5811884,6.483542
20067,1986156N26284,1986,52,ANDREW,1986-06-07 06:00:00,32.8,-76.9,159,TS,45.0,1001.0,0,12,42,106793.6,-0.09234192,1.2153491,49799.62,1.3625555,1.7339904,14567.8125,1.2076209,4.720695
20068,1986156N26284,1986,52,ANDREW,1986-06-07 09:00:00,33.2147,-76.457,159,TS,45.0,1000.0,0,11,43,106718.98,2.0831652,3.9765234,49751.074,2.925645,3.6220057,14564.914,2.7351868,8.96398
20069,1986156N26284,1986,52,ANDREW,1986-06-07 12:00:00,33.6,-76.0,130,TS,45.0,999.0,0,11,47,106820.64,3.5864058,2.2225432,49815.35,2.0962505,1.7014172,14590.597,1.7775196,4.7657456
20070,1986156N26284,1986,52,ANDREW,1986-06-07 15:00:00,33.9423,-75.5142,127,TS,45.0,999.0,0,11,50,106908.97,2.3609838,1.8223236,49884.285,3.2810786,0.7274707,14649.763,2.7269561,3.526949
20071,1986156N26284,1986,52,ANDREW,1986-06-07 18:00:00,34.3,-75.0,136,TS,45.0,1000.0,0,12,48,106996.87,3.2115142,4.5564313,49891.73,4.94953,2.205428,14658.952,4.1247168,7.3863783
20072,1986156N26284,1986,52,ANDREW,1986-06-07 21:00:00,34.7198,-74.4643,148,TS,45.0,1001.0,0,13,45,106969.48,5.2100782,3.578128,49828.74,3.4661841,3.8860102,14597.809,3.544917,10.92685
20073,1986156N26284,1986,52,ANDREW,1986-06-08 00:00:00,35.2,-73.9,159,TS,45.0,1002.0,0,13,43,106970.58,3.6075451,1.3442261,49825.53,4.5111995,1.4733417,14517.241,5.79138,6.1664643
20074,1986156N26284,1986,52,ANDREW,1986-06-08 03:00:00,35.6967,-73.3427,198,TS,45.0,1002.0,0,15,42,106945.38,5.1869645,2.0024462,49831.004,2.8573742,3.6202705,14582.584,3.834842,8.055417
20075,1986156N26284,1986,52,ANDREW,1986-06-08 06:00:00,36.3,-72.7,257,TS,45.0,1002.0,0,18,40,106797.82,5.008141,2.581665,49698.16,5.4100056,1.8836437,14450.19,6.515313,6.1395593
20076,1986156N26284,1986,52,ANDREW,1986-06-08 09:00:00,37.0545,-71.9164,310,TS,42.0,1002.0,0,21,40,106692.41,6.8079133,3.5996552,49608.83,5.381259,2.8744092,14357.207,6.474704,7.8857923
20077,1986156N26284,1986,52,ANDREW,1986-06-08 12:00:00,37.9,-71.0,336,TS,40.0,1002.0,0,23,42,106680.9,9.116447,3.7994776,49636.523,6.524618,4.3601766,14340.982,7.084762,9.667775
20078,1986156N26284,1986,52,ANDREW,1986-06-08 15:00:00,38.7545,-69.9825,306,TS,37.0,1001.0,0,24,44,106626.19,10.405292,3.7093177,49612.605,7.0965986,6.7370667,14319.57,8.774378,9.645567
20079,1986156N26284,1986,52,ANDREW,1986-06-08 18:00:00,39.6,-68.9,251,TS,35.0,1001.0,0,24,45,106493.12,12.548864,5.590114,49486.54,9.926574,7.8756537,14196.628,10.42076,7.858405
20080,1986175N26273,1986,57,BONNIE,1986-06-23 18:00:00,25.6,-87.2,423,TD,25.0,1014.0,-1,5,277,107056.17,-5.14719,0.40650514,50281.734,-3.3615675,1.18776,15155.767,-1.1847467,0.73903567
20081,1986175N26273,1986,57,BONNIE,1986-06-23 21:00:00,25.6326,-87.4975,411,TD,25.0,1013.0,-1,6,280,107071.88,-4.7894135,0.3073529,50241.656,-2.8997161,1.1277747,15088.171,-0.7947156,1.1449444
20082,1986175N26273,1986,57,BONNIE,1986-06-24 00:00:00,25.7,-87.8,390,TD,25.0,1013.0,-1,6,290,107044.96,-4.4945507,1.4275599,50190.7,-3.936921,-0.2564746,14999.259,-1.9254181,-0.8855981
20083,1986175N26273,1986,57,BONNIE,1986-06-24 03:00:00,25.8275,-88.1075,370,TD,25.0,1013.0,-1,6,299,107136.5,-2.4046686,0.009476929,50256.426,-4.955131,0.21962768,15065.376,-3.1627119,1.2065778
20084,1986175N26273,1986,57,BONNIE,1986-06-24 06:00:00,26.0,-88.4,342,TD,25.0,1014.0,-1,6,308,107125.06,-2.8989887,-0.90000796,50243.49,-4.7991776,1.743686,15092.195,-1.6477984,3.293437
20085,1986175N26273,1986,57,BONNIE,1986-06-24 09:00:00,26.2074,-88.65,316,TD,27.0,1012.0,-1,6,312,106942.02,-3.633902,-0.6846564,50138.844,-3.213996,1.4007556,15014.588,0.14829467,2.2161138
20086,1986175N26273,1986,57,BONNIE,1986-06-24 12:00:00,26.4,-88.9,290,TD,30.0,1011.0,-1,6,304,106964.58,-2.2326782,-1.4842212,50156.11,-3.4021478,2.1911488,15004.157,0.14797302,3.390332
20087,1986175N26273,1986,57,BONNIE,1986-06-24 15:00:00,26.5224,-89.1776,279,TD,35.0,1008.0,0,6,290,107137.69,-2.2575135,0.54872316,50272.523,-4.779899,1.9574976,15108.742,-1.305785,2.3074744
