,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,geo_550,u_wind_550,v_wind_550,geo_850,u_wind_850,v_wind_850
8020,1970200N19277,1970,66,BECKY,1970-07-19 00:00:00,18.5,-83.5,313,TD,30.0,1011.0,-1,10,284,107541.36,-2.045713,4.690871,50182.68,1.895578,3.5889544,14949.4375,-5.2139387,0.030465089
8021,1970200N19277,1970,66,BECKY,1970-07-19 03:00:00,18.6278,-84.0224,311,TD,30.0,1011.0,-1,10,288,107679.18,-3.4499316,5.526427,50301.58,0.33218873,2.8238893,15103.066,-6.4555583,0.96934694
8022,1970200N19277,1970,66,BECKY,1970-07-19 06:00:00,18.8,-84.5,314,TD,30.0,1011.0,-1,9,297,107665.81,-3.7175574,5.33057,50249.5,1.1531793,3.0629601,15036.914,-6.5929804,2.6694927
8023,1970200N19277,1970,66,BECKY,1970-07-19 09:00:00,19.0549,-84.895,266,TD,30.0,1010.0,-1,9,312,107506.8,-1.3284961,4.7536983,50133.42,0.53800964,1.5753247,14925.058,-5.3408637,2.3439612
8024,1970200N19277,1970,66,BECKY,1970-07-19 12:00:00,19.4,-85.2,230,TD,30.0,1009.0,-1,9,327,107493.55,0.9071002,2.0705848,50153.004,1.3019775,3.6515307,14893.893,-3.4257014,4.704991
8025,1970200N19277,1970,66,BECKY,1970-07-19 15:00:00,19.8199,-85.4301,192,TD,30.0,1009.0,-1,10,337,107620.86,3.0460656,2.9696925,50337.26,0.11570007,3.7110834,15076.674,-4.37179,5.6594195
8026,1970200N19277,1970,66,BECKY,1970-07-19 18:00:00,20.3,-85.6,145,TD,30.0,1010.0,-1,10,343,107654.56,3.03563,3.2994702,50396.703,1.3076501,3.7084057,15088.249,-1.6942871,2.8981483
8027,1970200N19277,1970,66,BECKY,1970-07-19 21:00:00,20.7925,-85.7576,99,TD,32.0,1009.0,-1,10,344,107575.66,4.6754045,5.1182575,50273.42,2.7556756,2.59487,15002.661,-3.250399,2.6787066
8028,1970200N19277,1970,66,BECKY,1970-07-20 00:00:00,21.3,-85.9,85,TS,35.0,1009.0,0,11,345,107559.35,3.89985,3.5779035,50252.68,3.4879968,4.161883,14942.876,-3.2485235,2.784021
8029,1970200N19277,1970,66,BECKY,1970-07-20 03:00:00,21.8075,-86.0575,91,TS,37.0,1000.0,0,10,344,107663.35,5.1518083,3.6012092,50387.94,2.4681182,2.555031,15065.209,-5.15903,5.6079845
8030,1970200N19277,1970,66,BECKY,1970-07-20 06:00:00,22.3,-86.2,121,TS,40.0,1000.0,0,10,346,107665.81,4.3523755,2.1131403,50350.65,2.7794983,2.949367,15032.461,-3.6445484,8.438081
8031,1970200N19277,1970,66,BECKY,1970-07-20 09:00:00,22.7575,-86.3077,162,TS,40.0,1000.0,0,9,348,107477.36,3.8184516,3.6140673,50226.344,1.8892633,2.3191473,14959.492,-3.570036,9.133047
8032,1970200N19277,1970,66,BECKY,1970-07-20 12:00:00,23.2,-86.4,199,TS,40.0,1000.0,0,9,348,107398.42,5.367309,3.4437811,50248.75,0.5984961,4.6426573,15063.65,-5.4393177,10.383032
8033,1970200N19277,1970,66,BECKY,1970-07-20 15:00:00,23.65,-86.5075,251,TS,42.0,1000.0,0,9,349,107497.14,7.0384703,4.7110143,50382.88,-0.6359345,1.8171813,15201.429,-4.4204807,8.117819
8034,1970200N19277,1970,66,BECKY,1970-07-20 18:00:00,24.1,-86.6,293,TS,45.0,1008.0,0,9,351,107568.67,4.6319304,3.9662256,50384.113,0.23632385,2.3259552,15204.82,-3.2227373,8.451471
8035,1970200N19277,1970,66,BECKY,1970-07-20 21:00:00,24.5575,-86.6576,346,TS,47.0,1005.0,0,9,355,107455.42,4.804343,5.656959,50343.926,-0.80500674,1.6901245,15167.125,-2.8714068,7.9756694
8036,1970200N19277,1970,66,BECKY,1970-07-21 00:00:00,25.0,-86.7,375,TS,50.0,1003.0,0,9,353,107436.7,7.012425,2.8477013,50248.273,-1.0650269,1.0027094,15035.928,-0.71535766,6.2374897
8037,1970200N19277,1970,66,BECKY,1970-07-21 03:00:00,25.4075,-86.7649,414,TS,52.0,1003.0,0,8,354,107492.95,7.534594,2.1000977,50346.24,0.11386353,2.3936481,15110.591,-1.4503082,6.1614113
8038,1970200N19277,1970,66,BECKY,1970-07-21 06:00:00,25.8,-86.8,423,TS,55.0,1004.0,0,8,358,107375.34,7.646982,2.6820996,50312.645,0.82796997,3.8233984,15101.479,-2.1918323,7.236734
8039,1970200N19277,1970,66,BECKY,1970-07-21 09:00:00,26.1924,-86.7873,385,TS,55.0,1005.0,0,8,6,107219.19,6.6325426,2.0177577,50173.594,2.1006768,3.8699493,14979.605,-0.8906952,7.644535
8040,1970200N19277,1970,66,BECKY,1970-07-21 12:00:00,26.6,-86.7,356,TS,55.0,1006.0,0,9,16,107057.87,8.922733,3.2954016,50170.1,0.576355,2.7693603,15008.9375,-1.4142853,7.071773
8041,1970200N19277,1970,66,BECKY,1970-07-21 15:00:00,27.05,-86.5227,309,TS,55.0,1006.0,0,10,22,107179.62,6.780684,5.7392015,50202.805,1.6661755,2.2919245,15083.02,0.1919873,6.96519
8042,1970200N19277,1970,66,BECKY,1970-07-21 18:00:00,27.5,-86.3,260,TS,55.0,1006.0,0,9,24,107203.18,6.7009873,5.9769564,50220.684,0.1830127,3.6676044,15159.213,-1.493266,9.3518915
8043,1970200N19277,1970,66,BECKY,1970-07-21 21:00:00,27.9075,-86.0998,212,TS,52.0,1006.0,0,9,24,107167.49,6.254661,6.0401793,50143.74,0.7839203,4.1639442,15018.241,-0.25484863,8.113221
8044,1970200N19277,1970,66,BECKY,1970-07-22 00:00:00,28.3,-85.9,163,TS,50.0,1007.0,0,9,25,107053.22,4.439596,8.488113,50046.273,1.3561847,3.9146612,14936.129,0.42363098,5.702543
8045,1970200N19277,1970,66,BECKY,1970-07-22 03:00:00,28.6909,-85.6908,115,TS,47.0,1007.0,0,9,24,107019.8,1.8528149,11.850448,49995.93,1.0821729,4.7103143,14905.298,-1.9714044,5.2731853
8046,1970200N19277,1970,66,BECKY,1970-07-22 06:00:00,29.1,-85.5,67,TS,45.0,1007.0,0,9,19,106962.03,2.709881,13.533457,49933.594,3.3982384,5.7831597,14820.126,-1.9678229,5.895684
8047,1970200N19277,1970,66,BECKY,1970-07-22 09:00:00,29.5482,-85.3482,22,TS,41.0,1007.0,0,9,16,106885.72,3.2335851,12.783028,49870.13,0.7808551,8.029089,14797.58,-2.3234692,9.298658
8049,1970200N19277,1970,66,BECKY,1970-07-22 12:00:00,30.0,-85.2,0,TS,35.0,1007.0,0,12,6,106710.04,0.907962,16.759998,49893.703,4.9611487,8.567325,14867.572,-1.5113349,8.766055
8050,1970200N19277,1970,66,BECKY,1970-07-22 15:00:00,30.6543,-85.1905,0,TS,30.0,1008.0,-1,15,357,106780.98,0.40054262,18.915148,49937.484,2.6997614,9.688148,14937.334,-1.3071057,9.182466
8051,1970200N19277,1970,66,BECKY,1970-07-22 18:00:00,31.5,-85.3,0,TD,25.0,1008.0,-1,18,354,106875.52,0.34233397,20.917309,49929.82,0.9222864,11.37103,14902.825,-1.3881732,7.9539227
8052,1970200N19277,1970,66,BECKY,1970-07-22 21:00:00,32.4125,-85.4203,0,TD,25.0,1008.0,-1,19,352,106926.2,-1.0174189,21.494654,49979.93,3.609342,11.901118,14865.551,0.17406373,6.3834467
8053,1970200N19277,1970,66,BECKY,1970-07-23 00:00:00,33.4,-85.6,0,TD,25.0,1008.0,-1,20,350,106726.98,1.976275,19.606848,49873.836,2.4056726,10.62661,14857.888,-4.274597,3.8573976
8054,1970200N19277,1970,66,BECKY,1970-07-23 03:00:00,34.385,-85.8279,0,TD,22.0,1008.0,-1,20,348,106802.28,2.3305085,18.67396,49945.12,1.1937305,11.099074,14930.173,-4.812428,6.968703
8055,1970200N19277,1970,66,BECKY,1970-07-23 06:00:00,35.4,-86.1,0,TD,20.0,1008.0,-1,21,347,106826.88,2.9712658,19.482134,49991.395,0.40776917,11.483364,14967.655,-3.0927234,9.475636
8056,1970200N19277,1970,66,BECKY,1970-07-23 09:00:00,36.4426,-86.3933,0,TD,20.0,1008.0,-1,22,347,106754.42,4.7750945,18.188845,50008.43,0.58161926,11.745588,14990.843,-0.34069398,9.263332
8057,1970200N19277,1970,66,BECKY,1970-07-23 12:00:00,37.5,-86.7,0,TD,20.0,1008.0,-1,22,347,106511.62,3.3142,16.759926,49993.574,-1.6334558,8.719804,15109.758,-1.6987878,4.549555
8058,1970210N34285,1970,74,NOT_NAMED,1970-07-28 18:00:00,34.2,-74.8,157,TD,25.0,1008.0,-1,4,91,107115.93,4.5528393,-4.373572,50542.824,2.0972881,-3.9589527,15388.327,2.5602105,-4.497746
8059,1970210N34285,1970,74,NOT_NAMED,1970-07-28 21:00:00,34.1976,-74.5474,182,TD,25.0,1008.0,-1,5,90,107142.45,6.7083063,-6.345378,50538.42,1.7694012,-4.7109594,15364.96,1.4034095,-4.4907475
8060,1970210N34285,1970,74,NOT_NAMED,1970-07-29 00:00:00,34.2,-74.2,207,TD,25.0,1008.0,-1,7,89,107026.59,4.317879,-7.5382166,50465.96,0.37830383,-4.8306127,15275.923,2.0193262,-1.3854706
