,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,humid_250,temp_250,geo_550,u_wind_550,v_wind_550,humid_550,temp_550,geo_850,u_wind_850,v_wind_850,humid_850,temp_850
17151,1981154N19266,1981,38,NOT_NAMED,1981-06-03 06:00:00,19.4,-94.3,115,TD,20.0,1008.0,-1,9,306,107721.63,-0.09265808,-3.46782,0.00025447714,233.60559,49990.37,-3.8340998,3.4128234,0.006300988,272.97284,14544.383,-5.2054234,5.183471,0.014172392,291.1773
17152,1981154N19266,1981,38,NOT_NAMED,1981-06-03 09:00:00,19.6703,-94.6946,123,TD,22.0,1008.0,-1,9,312,107537.66,2.8530493,0.012556762,0.00020521281,233.3211,49848.89,-4.564108,2.419635,0.0062007713,272.88947,14416.481,-5.5234404,4.5816693,0.01416151,291.09918
17153,1981154N19266,1981,38,NOT_NAMED,1981-06-03 12:00:00,20.0,-95.0,145,TD,25.0,1008.0,-1,9,330,107501.44,0.34940124,0.92765015,0.00025708537,233.28293,49829.57,-3.33359,2.1014411,0.006014153,272.9749,14373.108,-3.4799159,5.508198,0.013946192,291.41376
17154,1981154N19266,1981,38,NOT_NAMED,1981-06-03 15:00:00,20.4273,-95.1654,137,TD,25.0,1008.0,-1,9,343,107590.94,1.9308063,3.2142353,0.00027004487,233.44029,49897.24,-3.1347547,2.7630913,0.0060408367,273.1112,14439.26,-3.9294977,4.933025,0.013850553,291.52582
17155,1981154N19266,1981,38,NOT_NAMED,1981-06-03 18:00:00,20.9,-95.3,160,TD,25.0,1008.0,-1,10,338,107693.68,4.5407424,4.6414375,0.00026598002,233.62619,50013.0,-4.443093,4.6162786,0.005806925,273.04163,14546.043,-5.329321,5.748411,0.013592116,291.73132
17156,1981154N19266,1981,38,NOT_NAMED,1981-06-03 21:00:00,21.3426,-95.5573,167,TD,27.0,1008.0,-1,10,333,107568.66,5.500671,4.6534815,0.00025131943,233.87181,49865.46,-2.972052,3.0016832,0.00606568,273.26883,14367.531,-4.5694413,3.9918067,0.0138473855,292.04196
17157,1981154N19266,1981,38,NOT_NAMED,1981-06-04 00:00:00,21.8,-95.8,156,TD,30.0,1008.0,-1,10,341,107508.92,6.4137325,4.265808,0.00021202164,233.27512,49862.773,-2.0679772,4.6068416,0.0057469653,273.0939,14372.638,-4.288481,5.703461,0.013464725,291.97595
17158,1981154N19266,1981,38,NOT_NAMED,1981-06-04 03:00:00,22.3074,-95.9079,164,TD,30.0,1008.0,-1,10,349,107602.24,5.8390436,4.5322046,0.00022145435,233.36267,49928.05,-1.3274249,5.1861157,0.0058115893,273.10266,14445.809,-5.1012306,5.9740148,0.013476215,291.9558
17159,1981154N19266,1981,38,NOT_NAMED,1981-06-04 06:00:00,22.8,-96.0,184,TD,30.0,1008.0,-1,9,341,107564.89,7.4319005,7.410387,0.00020696229,233.24521,49912.125,-1.7626777,6.6619368,0.0058630765,272.887,14471.48,-6.199807,7.918585,0.013703827,291.3932
17160,1981154N19266,1981,38,NOT_NAMED,1981-06-04 09:00:00,23.1701,-96.2222,163,TD,30.0,1008.0,-1,9,335,107404.72,6.636462,7.9023223,0.00026609798,233.37798,49761.484,-0.76944214,6.261965,0.00577767,272.69675,14338.537,-5.3485103,8.560975,0.014101974,291.32315
17161,1981154N19266,1981,38,NOT_NAMED,1981-06-04 12:00:00,23.6,-96.4,142,TD,30.0,1008.0,-1,11,352,107397.68,4.7932954,11.215139,0.00031184644,233.91449,49788.74,0.37569642,5.263269,0.0051710675,272.57922,14354.657,-3.4764545,7.96255,0.014734899,291.90594
17162,1981154N19266,1981,38,NOT_NAMED,1981-06-04 15:00:00,24.27,-96.3879,133,TD,30.0,1008.0,-1,14,4,107529.64,4.218725,9.950464,0.00033019026,234.40083,49836.96,0.5015039,5.301983,0.0049511953,272.5931,14411.227,-3.308659,8.299968,0.014794498,292.00836
17163,1981154N19266,1981,38,NOT_NAMED,1981-06-04 18:00:00,25.0,-96.3,110,TD,30.0,1008.0,-1,13,5,107598.91,4.9491606,11.573669,0.00032631145,234.35672,49910.586,0.6389557,6.720116,0.004824888,272.5405,14491.517,-3.7588995,8.179658,0.014403676,292.1217
17164,1981154N19266,1981,38,NOT_NAMED,1981-06-04 21:00:00,25.5925,-96.2499,100,TD,30.0,1008.0,-1,12,4,107538.4,6.7324877,11.7624035,0.00032088908,234.33015,49849.54,1.8156171,7.090912,0.0047914507,272.5053,14456.013,-5.553624,8.800906,0.014273689,292.10297
17165,1981154N19266,1981,38,NOT_NAMED,1981-06-05 00:00:00,26.2,-96.2,92,TD,30.0,1008.0,-1,14,4,107471.1,9.684561,13.136875,0.0002574493,234.07086,49800.977,5.0178227,3.5596142,0.004322701,272.86603,14288.086,-1.0502539,4.744086,0.014240552,292.2583
17166,1981154N19266,1981,38,NOT_NAMED,1981-06-05 03:00:00,26.9425,-96.15,133,TD,30.0,1008.0,-1,15,3,107489.58,12.041947,14.708626,0.00021328835,234.01035,49848.17,3.8453052,3.7306006,0.004074897,272.52274,14397.746,-3.1361334,6.1683846,0.014591571,291.61566
17167,1981154N19266,1981,38,NOT_NAMED,1981-06-05 06:00:00,27.7,-96.1,83,TD,30.0,1008.0,-1,14,2,107497.29,13.359927,16.064716,0.00018184657,234.27179,49839.45,3.202594,5.0696993,0.0038893772,272.65668,14437.074,-4.2333064,9.008705,0.014848373,291.29297
17168,1981154N19266,1981,38,NOT_NAMED,1981-06-05 09:00:00,28.3648,-96.0941,14,TD,27.0,1008.0,-1,13,4,107481.35,13.587149,14.381528,0.00016392028,234.78026,49779.82,4.3161225,6.248223,0.0037173652,272.921,14350.216,-1.5640949,9.968366,0.014545322,291.35034
