,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,geo_550,u_wind_550,v_wind_550,geo_850,u_wind_850,v_wind_850
21975,1989167N21266,1989,45,NOT_NAMED,1989-06-15 18:00:00,20.7,-94.3,236,TD,25.0,1008.0,-1,4,54,107579.4,6.6259522,2.0224774,50206.87,2.0336084,4.395634,14969.473,-0.53348696,0.5961389
21976,1989167N21266,1989,45,NOT_NAMED,1989-06-15 21:00:00,20.8126,-94.1301,260,TD,25.0,1008.0,-1,3,55,107575.56,7.0304723,1.6557934,50145.98,2.673717,3.3310437,14872.071,-0.396886,-0.36787963
21977,1989167N21266,1989,45,NOT_NAMED,1989-06-16 00:00:00,20.9,-94.0,273,TD,25.0,1008.0,-1,2,55,107540.16,8.8382,2.0552375,50078.04,3.187475,2.748849,14790.684,-0.11859009,-1.1433594
21978,1989167N21266,1989,45,NOT_NAMED,1989-06-16 03:00:00,20.9375,-93.935,281,TD,25.0,1008.0,-1,1,90,107594.96,7.2927656,0.50413394,50166.22,3.9796565,1.5369684,14916.872,-0.68562317,-1.4537567
21979,1989167N21266,1989,45,NOT_NAMED,1989-06-16 06:00:00,20.9,-93.9,281,TD,25.0,1008.0,-1,2,153,107546.73,6.084651,0.40238526,50159.05,4.3340864,0.005499878,14948.628,-1.5909271,-1.1082324
21980,1989167N21266,1989,45,NOT_NAMED,1989-06-16 09:00:00,20.7875,-93.85,271,TD,25.0,1008.0,-1,3,163,107342.67,5.453023,0.54804075,50009.773,3.7683709,-1.7105494,14795.795,-1.1017182,-0.090651855
21981,1989167N21266,1989,45,NOT_NAMED,1989-06-16 12:00:00,20.6,-93.8,251,TD,25.0,1008.0,-1,4,167,107341.8,7.248968,1.4863971,50042.62,1.71401,-2.8573847,14791.133,0.6137891,-1.6103156
21982,1989167N21266,1989,45,NOT_NAMED,1989-06-16 15:00:00,20.365,-93.75,232,TD,25.0,1008.0,-1,5,169,107527.22,5.3272877,1.5458924,50133.035,2.2294018,-3.053824,14883.445,1.1849225,-4.3893213
21983,1989167N21266,1989,45,NOT_NAMED,1989-06-16 18:00:00,20.1,-93.7,197,TD,25.0,1008.0,-1,5,169,107615.07,6.182266,1.8589886,50206.984,0.7892145,-3.896502,14938.684,-0.15838012,-4.6094837
21984,1989167N21266,1989,45,NOT_NAMED,1989-06-16 21:00:00,19.8425,-93.6349,164,TD,25.0,1008.0,-1,5,169,107580.68,6.295801,1.576076,50121.105,-0.5795966,-5.107914,14793.746,-0.7028302,-4.271635
21985,1989167N21266,1989,45,NOT_NAMED,1989-06-17 00:00:00,19.6,-93.6,145,TD,25.0,1008.0,-1,5,178,107674.21,6.4687123,0.669339,50105.855,-2.4407117,-3.6656463,14733.059,-0.66471744,-5.9216433
21986,1989167N21266,1989,45,NOT_NAMED,1989-06-17 03:00:00,19.39,-93.6301,123,TD,25.0,1008.0,-1,4,193,107673.39,3.838728,-2.2480462,50157.453,-2.0792255,-3.056521,14853.195,-1.3912011,-5.8374605
21987,1989167N21266,1989,45,NOT_NAMED,1989-06-17 06:00:00,19.2,-93.7,100,TD,25.0,1008.0,-1,4,200,107618.16,3.050351,-3.5283802,50155.227,-2.0014582,-2.2694898,14856.621,-2.3256245,-3.4990423
21988,1989176N27264,1989,50,ALLISON,1989-06-24 18:00:00,27.0,-96.0,139,TD,30.0,1008.0,-1,0,0,107489.52,1.7948517,3.625755,50001.703,-0.26523194,4.929491,14677.418,-3.1442926,4.5301275
21989,1989176N27264,1989,50,ALLISON,1989-06-24 21:00:00,26.98,-95.9975,139,TD,30.0,1007.0,-1,0,0,107499.76,2.1514177,3.0334973,49962.023,0.81410825,4.1484246,14614.9,-3.5875807,4.1792293
21990,1989176N27264,1989,50,ALLISON,1989-06-25 00:00:00,27.0,-96.0,139,TD,30.0,1006.0,-1,1,0,107496.41,4.093658,3.3116932,49963.055,0.20111267,2.4883814,14569.05,-3.9585094,2.4628594
21991,1989176N27264,1989,50,ALLISON,1989-06-25 03:00:00,27.085,-96.0075,135,TD,30.0,1005.0,-1,2,8,107518.83,4.5657682,1.4741614,50013.93,0.3533496,2.3390949,14642.459,-4.7084656,3.3705797
21992,1989176N27264,1989,50,ALLISON,1989-06-25 06:00:00,27.2,-96.0,132,TD,30.0,1005.0,-1,2,13,107478.08,3.8783655,0.31014526,49992.64,0.9404871,2.7255707,14668.928,-3.8787544,5.5149355
21993,1989176N27264,1989,50,ALLISON,1989-06-25 09:00:00,27.3,-95.9575,125,TD,30.0,1005.0,-1,2,25,107378.18,2.806933,-0.0108886715,49867.203,1.3575721,2.3712263,14562.523,-1.7858624,5.9923816
21994,1989176N27264,1989,50,ALLISON,1989-06-25 12:00:00,27.4,-95.9,121,TD,30.0,1005.0,-1,2,28,107398.92,5.4882984,-0.86951536,49868.5,-0.3466229,2.4525611,14562.178,-0.50033206,3.9948468
21995,1989176N27264,1989,50,ALLISON,1989-06-25 15:00:00,27.5,-95.8425,116,TD,30.0,1005.0,-1,2,25,107485.28,6.218291,0.34243652,49949.664,-3.1804059,3.0434124,14672.348,-4.908493,2.7919812
21996,1989176N27264,1989,50,ALLISON,1989-06-25 18:00:00,27.6,-95.8,106,TD,30.0,1005.0,-1,2,13,107545.22,5.8508196,0.084345706,49992.86,-2.7748199,2.8905969,14679.821,-5.1042995,3.451101
21997,1989176N27264,1989,50,ALLISON,1989-06-25 21:00:00,27.6925,-95.7925,97,TD,32.0,1004.0,-1,2,8,107540.26,5.4701014,-2.0416358,49952.215,-2.081172,3.2110314,14593.749,-4.292613,3.6807244
21998,1989176N27264,1989,50,ALLISON,1989-06-26 00:00:00,27.8,-95.8,87,TS,35.0,1004.0,0,2,0,107528.37,6.1415386,-3.9383843,49943.09,-1.6658118,3.437018,14534.325,-3.5378168,2.0940845
21999,1989176N27264,1989,50,ALLISON,1989-06-26 03:00:00,27.9275,-95.8075,77,TS,35.0,1004.0,0,3,0,107521.68,3.405023,-3.4182782,49977.95,0.15663269,3.2356544,14584.215,-4.6466417,2.4195654
22000,1989176N27264,1989,50,ALLISON,1989-06-26 06:00:00,28.1,-95.8,59,TS,35.0,1004.0,0,4,9,107458.77,2.4030304,-2.8196387,49916.32,1.0963117,2.3093243,14584.945,-3.91935,5.5101423
22001,1989176N27264,1989,50,ALLISON,1989-06-26 09:00:00,28.3245,-95.7426,44,TS,37.0,1003.0,0,5,10,107293.64,2.0287726,-1.80125,49743.797,1.0385156,1.8316126,14436.214,-1.1921784,7.4601483
22002,1989176N27264,1989,50,ALLISON,1989-06-26 12:00:00,28.6,-95.7,22,TS,40.0,1003.0,0,6,6,107321.9,8.895766,-0.09897461,49794.2,-1.7608105,1.3343848,14469.827,-2.3676002,4.617473
22004,1989176N27264,1989,50,ALLISON,1989-06-26 15:00:00,28.8697,-95.7,0,TS,41.0,1001.0,0,5,0,107355.74,7.722238,-0.87298644,49844.85,-0.97030336,2.157256,14498.551,-2.157367,3.8745246
22005,1989176N27264,1989,50,ALLISON,1989-06-26 18:00:00,29.1,-95.7,0,TS,45.0,1001.0,0,5,358,107436.91,6.1529374,-0.98464847,49870.145,0.6918207,2.537558,14523.345,-1.8219659,4.3655925
22006,1989176N27264,1989,50,ALLISON,1989-06-26 21:00:00,29.3974,-95.729,0,TS,45.0,1000.0,0,6,1,107428.25,7.7279835,-2.4058752,49828.55,2.7100995,1.3608844,14467.02,-1.6086944,4.1212654
