,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,geo_550,u_wind_550,v_wind_550,geo_850,u_wind_850,v_wind_850
11545,1974174N19265,1974,49,NOT_NAMED,1974-06-22 12:00:00,19.0,-95.0,39,TD,20.0,1008.0,-1,8,43,106982.41,8.77782,0.7663403,49550.445,-1.1829889,1.7347674,14294.942,-0.6141382,3.6590514
11546,1974174N19265,1974,49,NOT_NAMED,1974-06-22 15:00:00,19.3026,-94.7002,84,TD,20.0,1008.0,-1,8,43,107115.83,8.126993,1.8772589,49673.37,0.30155763,2.7935474,14423.14,0.17586853,2.640114
11547,1974174N19265,1974,49,NOT_NAMED,1974-06-22 18:00:00,19.6,-94.4,128,TD,20.0,1008.0,-1,8,44,107128.65,9.909348,2.5279424,49676.7,1.2595465,3.712231,14432.494,-1.6286077,3.7123394
11548,1974174N19265,1974,49,NOT_NAMED,1974-06-22 21:00:00,19.8925,-94.0999,173,TD,22.0,1008.0,-1,8,43,107137.33,9.1546755,4.871439,49604.94,2.5039532,2.5974627,14302.225,-1.6252326,2.2334924
11549,1974174N19265,1974,49,NOT_NAMED,1974-06-23 00:00:00,20.2,-93.8,212,TD,25.0,1008.0,-1,9,40,107119.55,8.033679,3.546076,49607.98,2.9106562,-0.0014923096,14307.961,-1.8299994,1.3307849
11550,1974174N19265,1974,49,NOT_NAMED,1974-06-23 03:00:00,20.5499,-93.5074,228,TD,25.0,1008.0,-1,9,39,107176.16,9.737366,3.051721,49722.316,0.78194094,-0.5890051,14460.137,-4.096447,2.6409419
11551,1974174N19265,1974,49,NOT_NAMED,1974-06-23 06:00:00,20.9,-93.2,262,TD,25.0,1008.0,-1,9,42,107182.86,8.109561,3.797674,49759.094,0.5458026,2.0607123,14502.402,-4.042288,6.7641573
11552,1974174N19265,1974,49,NOT_NAMED,1974-06-23 09:00:00,21.2375,-92.8501,261,TD,25.0,1008.0,-1,9,47,107071.16,7.102703,5.416435,49646.03,-0.10866699,2.4913447,14367.253,-1.3387195,6.575427
11553,1974174N19265,1974,49,NOT_NAMED,1974-06-23 12:00:00,21.5,-92.5,231,TD,25.0,1008.0,-1,7,57,107157.86,9.023737,7.6497607,49678.727,-0.36488098,3.7900214,14388.298,-3.781319,8.477418
11554,1974174N19265,1974,49,NOT_NAMED,1974-06-23 15:00:00,21.6374,-92.1923,204,TD,25.0,1008.0,-1,6,70,107291.12,8.272955,6.8701606,49769.96,0.00028137208,3.834187,14468.73,-1.4444684,7.3436656
11555,1974174N19265,1974,49,NOT_NAMED,1974-06-23 18:00:00,21.7,-91.9,178,TD,25.0,1008.0,-1,6,78,107388.84,7.28284,4.7762775,49815.06,1.1478565,4.253601,14488.143,0.5989246,5.30134
11556,1974174N19265,1974,49,NOT_NAMED,1974-06-23 21:00:00,21.7574,-91.6074,155,TD,25.0,1008.0,-1,6,80,107317.34,7.397252,2.6270862,49745.59,2.302412,3.6239953,14389.673,1.8241583,2.8630462
11557,1974174N19265,1974,49,NOT_NAMED,1974-06-24 00:00:00,21.8,-91.3,129,TD,25.0,1008.0,-1,6,81,107315.62,6.259574,1.1303412,49754.24,4.212799,6.654463,14389.817,0.20884949,4.8768077
11558,1974174N19265,1974,49,NOT_NAMED,1974-06-24 03:00:00,21.85,-90.95,108,TD,25.0,1008.0,-1,7,81,107377.56,5.2697835,0.01447876,49799.94,4.718199,4.848894,14428.65,1.2711914,5.500689
11559,1974174N19265,1974,49,NOT_NAMED,1974-06-24 06:00:00,21.9,-90.6,94,TD,25.0,1008.0,-1,6,82,107317.97,4.2031245,0.3469696,49782.46,3.8926203,3.403581,14396.456,2.7776983,6.5147514
11560,1974174N19265,1974,49,NOT_NAMED,1974-06-24 09:00:00,21.9425,-90.27,88,TD,25.0,1008.0,-1,6,80,107181.95,4.778465,-0.4337616,49654.977,6.030083,7.2528462,14310.122,4.474078,8.405643
11561,1974174N19265,1974,49,NOT_NAMED,1974-06-24 12:00:00,22.0,-90.0,90,TD,25.0,1008.0,-1,4,71,107198.05,5.4008827,0.29988647,49685.57,6.407735,1.1080121,14296.987,2.5807014,6.8533626
11562,1974174N19265,1974,49,NOT_NAMED,1974-06-24 15:00:00,22.0849,-89.82,100,TD,25.0,1008.0,-1,3,54,107252.28,6.706024,0.4106952,49767.51,5.044372,1.4142438,14375.213,3.590163,5.9051604
11563,1974174N19265,1974,49,NOT_NAMED,1974-06-24 18:00:00,22.2,-89.7,108,TD,25.0,1008.0,-1,3,39,107315.55,6.7701106,0.10703186,49782.52,4.9879155,2.9283953,14357.017,4.090415,3.4116356
11564,1974174N19265,1974,49,NOT_NAMED,1974-06-24 21:00:00,22.3425,-89.5925,116,TD,25.0,1008.0,-1,4,31,107278.3,6.3687596,0.36027953,49683.51,5.653708,2.579544,14235.134,3.276825,-0.3350586
