,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,geo_550,u_wind_550,v_wind_550,geo_850,u_wind_850,v_wind_850
22803,1990203N09318,1990,52,ARTHUR,1990-07-22 06:00:00,8.8,-41.9,1154,TD,25.0,1010.0,-1,13,271,107160.16,-4.0656214,-1.8774042,50079.48,-6.2566285,-0.92750853,14928.982,-3.6757934,-1.8307709
22804,1990203N09318,1990,52,ARTHUR,1990-07-22 09:00:00,8.81028,-42.5502,1085,TD,25.0,1010.0,-1,13,274,107168.11,-3.8885322,-2.3675628,50105.555,-6.022256,-0.76714236,14965.956,-4.056092,-1.8769745
22805,1990203N09318,1990,52,ARTHUR,1990-07-22 12:00:00,8.9,-43.2,1033,TD,25.0,1010.0,-1,13,283,107324.98,-4.4245934,-3.9929566,50201.82,-6.184332,-0.29224977,15048.379,-4.802913,-1.5774841
22806,1990203N09318,1990,52,ARTHUR,1990-07-22 15:00:00,9.10722,-43.8623,978,TD,25.0,1010.0,-1,14,286,107347.22,-5.3456445,-4.2368035,50206.44,-5.9629064,-0.6322479,15047.956,-4.2515454,-0.6040094
22807,1990203N09318,1990,52,ARTHUR,1990-07-22 18:00:00,9.3,-44.6,928,TD,25.0,1010.0,-1,16,278,107225.73,-5.793891,-4.5362673,50098.023,-5.3090386,-1.4205835,14923.339,-3.1543756,-0.18003601
22808,1990203N09318,1990,52,ARTHUR,1990-07-22 21:00:00,9.33736,-45.4552,851,TD,25.0,1010.0,-1,18,270,107186.21,-5.812178,-4.4488926,50083.586,-5.438954,-2.3678985,14906.699,-3.0183306,-0.19570434
22809,1990203N09318,1990,52,ARTHUR,1990-07-23 00:00:00,9.3,-46.4,779,TD,25.0,1010.0,-1,19,267,107310.32,-5.4221883,-4.2603245,50169.164,-7.165503,-3.0771606,14992.915,-3.17265,-0.3490155
22810,1990203N09318,1990,52,ARTHUR,1990-07-23 03:00:00,9.24991,-47.3926,697,TD,25.0,1010.0,-1,20,267,107336.38,-5.450196,-4.0985675,50179.953,-7.687636,-2.8452027,15017.385,-3.014107,-0.81663877
22811,1990203N09318,1990,52,ARTHUR,1990-07-23 06:00:00,9.2,-48.4,635,TD,25.0,1010.0,-1,20,268,107151.08,-6.0559525,-4.13859,50032.887,-7.4414425,-2.259223,14894.61,-2.482245,-1.0811499
22812,1990203N09318,1990,52,ARTHUR,1990-07-23 09:00:00,9.17725,-49.365,570,TD,25.0,1010.0,-1,19,270,107102.96,-7.0573077,-4.608257,50007.496,-7.2662663,-2.022511,14880.59,-2.2857654,-1.4792682
22813,1990203N09318,1990,52,ARTHUR,1990-07-23 12:00:00,9.2,-50.3,515,TD,25.0,1010.0,-1,18,273,107177.76,-7.8446546,-5.2450867,50099.746,-7.658321,-1.5481671,14989.754,-1.8585608,-0.7154303
22814,1990203N09318,1990,52,ARTHUR,1990-07-23 15:00:00,9.27733,-51.2225,481,TD,25.0,1009.0,-1,18,276,107245.94,-8.666943,-4.673617,50136.81,-7.5357857,-1.113186,14998.025,-1.6376172,-0.69091916
22815,1990203N09318,1990,52,ARTHUR,1990-07-23 18:00:00,9.4,-52.1,454,TD,25.0,1009.0,-1,17,279,107175.54,-8.479066,-3.839638,50039.504,-7.04785,-1.5105554,14872.433,-1.3470294,-1.0035473
22816,1990203N09318,1990,52,ARTHUR,1990-07-23 21:00:00,9.53471,-52.9151,428,TD,27.0,1008.0,-1,16,281,107159.62,-9.099151,-3.0894701,49994.863,-7.6231556,-1.8167462,14795.613,-3.1594708,-1.8761517
22817,1990203N09318,1990,52,ARTHUR,1990-07-24 00:00:00,9.7,-53.7,429,TD,30.0,1008.0,-1,16,283,107258.71,-9.267894,-2.1198046,50113.7,-7.5911036,-1.9855096,14916.13,-3.6384187,-1.4641571
22818,1990203N09318,1990,52,ARTHUR,1990-07-24 03:00:00,9.89236,-54.5075,448,TD,30.0,1007.0,-1,16,284,107294.71,-9.180074,-1.0998492,50171.2,-7.7165055,-1.8262396,14982.736,-4.228793,-1.527555
22819,1990203N09318,1990,52,ARTHUR,1990-07-24 06:00:00,10.1,-55.3,469,TD,30.0,1007.0,-1,16,285,107102.3,-8.870391,-1.1191369,50037.8,-6.922451,-1.3426447,14877.9,-5.0109296,-0.35774964
22820,1990203N09318,1990,52,ARTHUR,1990-07-24 09:00:00,10.3072,-56.0426,418,TD,32.0,1006.0,-1,15,285,107036.96,-8.678822,-0.91485167,50020.65,-6.7120986,-1.7703766,14853.793,-5.388957,0.4528967
22821,1990203N09318,1990,52,ARTHUR,1990-07-24 12:00:00,10.5,-56.8,369,TS,35.0,1006.0,0,16,282,107173.02,-9.310975,0.17953552,50078.83,-6.794974,-2.1458685,14895.825,-6.1814437,0.9174066
22822,1990203N09318,1990,52,ARTHUR,1990-07-24 15:00:00,10.6575,-57.6501,334,TS,35.0,1005.0,0,17,280,107254.62,-8.469907,1.7879273,50167.945,-7.5120907,-1.4236718,14946.704,-8.3408165,1.4539208
22823,1990203N09318,1990,52,ARTHUR,1990-07-24 18:00:00,10.8,-58.5,273,TS,35.0,1005.0,0,16,280,107171.12,-9.053049,1.7766442,50095.676,-7.578437,-0.49273133,14840.374,-7.4101753,2.30976
22824,1990203N09318,1990,52,ARTHUR,1990-07-24 21:00:00,10.9273,-59.2802,187,TS,37.0,1004.0,0,15,282,107114.66,-7.595877,2.128515,50011.316,-7.7738886,-0.59902406,14736.96,-7.760345,1.0471978
22825,1990203N09318,1990,52,ARTHUR,1990-07-25 00:00:00,11.1,-60.0,118,TS,40.0,1004.0,0,14,288,107217.4,-7.351048,1.6973681,50144.516,-7.123996,-0.8402569,14839.549,-6.872894,1.9322999
22826,1990203N09318,1990,52,ARTHUR,1990-07-25 03:00:00,11.3698,-60.6725,84,TS,42.0,1003.0,0,14,295,107269.84,-5.785839,2.0701654,50214.203,-8.029801,-0.81569093,14926.472,-6.654727,2.2593231
22827,1990203N09318,1990,52,ARTHUR,1990-07-25 06:00:00,11.7,-61.3,111,TS,45.0,1003.0,0,14,299,107131.63,-3.4954364,2.3534021,50087.516,-8.819225,0.95451844,14827.04,-8.675832,4.3115606
22828,1990203N09318,1990,52,ARTHUR,1990-07-25 09:00:00,12.0423,-61.9076,147,TS,47.0,1002.0,0,14,301,107095.68,-4.254251,1.5612353,50036.426,-8.288982,1.8465441,14804.321,-7.579469,4.5044384
